"GU","R1","R2","R3","R4","concentration"
8.080889356999997,2.3719228100805636,0.0,0.0,0.0,0.0875174166200336
10.051297576000001,4.98581516907389,0.0,0.0,0.0,0.2054747367341851
3.1521195160000004,2.128711962309883,0.0,0.0,0.0,0.0642616972335682
0.585194163,0.46097167286376717,0.0,0.0,0.0,0.015200528501817996
0.24049998,0.22639497291010552,0.0,0.0,0.0,0.008229154717017094
14.634650311000001,9.970959198071665,0.0,0.0,0.0,0.46615261131793767
100.61929863000007,0.7825159787844845,0.0,0.0,0.0,0.05767803560004525
12.597462225000006,0.01974823804781849,0.0,0.0,0.0,0.0009251663387044817
95.34474513000013,0.22954870764691576,0.0,0.0,0.0,0.016823746054045245
0.0,0.0,0.0,0.0,0.0,1.0e-15
0.31973506600000007,0.08255575728336315,0.0,0.0,0.0,0.0028657784793302507
0.1195060823,0.08320267282662494,0.0,0.0,0.0,0.0031447840537619618
0.044261578,0.016649185422926118,0.0,0.0,0.0,0.0003640290761069608
1.605590604,0.5375530519024374,0.0,0.0,0.0,0.0256680730346953
0.843753858,0.37975743320821626,0.0,0.0,0.0,0.0212929966864831
11.801750036000003,3.708427851325504,0.0,0.0,0.0,0.24093719207023878
31.613403729999998,0.10688339629722235,0.0,0.0,0.0,0.01163560925627939
1210.5562080999998,4.856659738392738,0.0,0.0,0.0,0.9983121503615733
